Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_PTM	KW-0325~Glycoprotein	24	54.54545454545454	1.2268929167847285E-5	ACVRL1, NAPSA, SLC46A2, TNXB, F12, ABCC6, LPL, LYPD3, NDNF, EMP2, SORBS1, HSD17B6, ADRB2, RNASE1, CDH5, GP9, CLEC3B, EFNA3, LEPR, C16ORF89, ESAM, SFTPA1, SYNPO, KCNK3	33	4844	14316	2.149388184070265	1.7175131109925523E-4	1.8403393751770928E-4	1.8403393751770928E-4
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	21	47.72727272727273	1.4105456319514254E-4	ACVRL1, NAPSA, SLC46A2, TNXB, F12, ABCC6, LPL, LYPD3, NDNF, EMP2, HSD17B6, ADRB2, RNASE1, CDH5, GP9, EFNA3, LEPR, ESAM, SFTPA1, SYNPO, KCNK3	43	4423	20675	2.2828607332705886	0.039134902414737716	0.03991844138422534	0.03991844138422534
UP_KW_DOMAIN	KW-0732~Signal	21	47.72727272727273	0.0013240967398012895	ACVRL1, NAPSA, TNXB, GPX3, F12, ABCC6, LPL, GKN2, LYPD3, NDNF, HSD17B6, RNASE1, CDH5, GP9, CLEC3B, EFNA3, LEPR, C16ORF89, ESAM, SFTPA1, MYZAP	37	4415	14625	1.8801077408098923	0.01837865216784418	0.018537354357218053	0.018537354357218053
GOTERM_BP_DIRECT	GO:0007160~cell-matrix adhesion	4	9.090909090909092	0.0015160905612007511	TNXB, LYPD3, EMP2, SORBS1	42	108	19478	17.17636684303351	0.4516422802913854	0.6003718622354974	0.6003718622354974
GOTERM_CC_DIRECT	GO:0005615~extracellular space	11	25.0	0.004047008471834779	SELENBP1, CLEC3B, NAPSA, TNXB, GPX3, F12, LPL, GKN2, LYPD3, NDNF, SFTPA1	44	1867	20795	2.784547402249598	0.33066243018384256	0.2247438603331664	0.2247438603331664
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	21	47.72727272727273	0.004540280006730634	ACVRL1, SLC46A2, F12, ABCC6, LPL, LYPD3, EMP2, SORBS1, ADRB2, SLC51B, GNG11, CDH5, GP9, EFNA3, DPYSL2, MS4A15, NOSTRIN, ESAM, SYNPO, KCNK3, MGLL	44	5597	20795	1.7732510923059432	0.3626977332582597	0.2247438603331664	0.2247438603331664
GOTERM_MF_DIRECT	GO:0008201~heparin binding	4	9.090909090909092	0.006500166862471097	CLEC3B, TNXB, LPL, NDNF	42	179	19253	10.243681830274008	0.6407933524845126	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	12	27.27272727272727	0.01069023787598173	CLEC3B, NAPSA, TNXB, GPX3, F12, LEPR, LPL, GKN2, C16ORF89, NDNF, SFTPA1, RNASE1	43	2217	18049	2.2719577052585205	0.20204539479314498	0.13411455024130295	0.12772814308695518
GOTERM_CC_DIRECT	GO:0070161~anchoring junction	3	6.8181818181818175	0.01080419004338265	CDH5, SORBS1, MYZAP	44	76	20795	18.655801435406698	0.6588506545030137	0.3565382714316274	0.3565382714316274
INTERPRO	IPR051663:CLec_Tetranectin-domain	2	4.545454545454546	0.01205121917370925	CLEC3B, SFTPA1	43	6	20808	161.30232558139534	0.9157007629803241	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0965~Cell junction	5	11.363636363636363	0.016245416115348445	CDH5, ESAM, SORBS1, MYZAP, SYNPO	43	421	18049	4.985085344970447	0.29103932031316193	0.13411455024130295	0.12772814308695518
GOTERM_BP_DIRECT	GO:0007597~blood coagulation, intrinsic pathway	2	4.545454545454546	0.01671895300457385	GP9, F12	42	8	19478	115.94047619047619	0.9987400405508333	1.0	1.0
GOTERM_BP_DIRECT	GO:0001955~blood vessel maturation	2	4.545454545454546	0.01671895300457385	ACVRL1, CDH5	42	8	19478	115.94047619047619	0.9987400405508333	1.0	1.0
