,fold,p.adjusted
CNKSR2,-2.02576723270486,8.64415080487675e-12
TNFAIP8L2,-2.19681580132365,1.96307336016808e-14
GINS1,3.82181932449438,1.3695750331501e-15
GPX3,-3.87880017614786,1.33259302339478e-15
TLE2,-2.06699997276617,4.02083239558372e-14
LRP2BP,-2.91420041891912,1.3695750331501e-15
ZWINT,2.98460662788703,1.54906533863419e-15
AOC3,-3.98099776015652,1.37937695708909e-15
DOCK11,-2.17519344688504,1.80794651394233e-15
SLC5A8,-3.26715732707501,3.15907907295194e-11
PNMA2,-2.8249712294646,1.67752848049723e-15
C1orf158,-3.63120768892954,1.88663661878857e-10
PTX3,-2.07255651730026,1.58672561574572e-06
SHROOM3,-2.30359170021449,5.7898631309472e-15
FGF11,4.02300087796723,1.57626086368843e-15
CEACAM21,-2.85978327623042,2.3071902826703e-14
CCDC181,-2.79495362144269,1.27472872261546e-12
NMUR1,-3.80780248457296,2.86270326319769e-15
SPATA18,-2.38722709742792,2.5086544385427e-12
MNDA,-2.71400252714836,2.91730436286282e-15
CLEC6A,-2.2928836652135,1.37660095646298e-12
GMFG,-2.61279907766394,1.67752848049723e-15
SLC7A2,-2.27941194739925,1.47912245493504e-10
CCNA2,3.73858286018926,1.3695750331501e-15
C8B,-5.41544758483625,5.7898631309472e-15
LY86,-2.80439824709755,4.54819326538941e-15
MAD2L1,3.28879670336279,1.39159551706711e-15
KIF17,-2.91300047735463,1.33420804523749e-15
AGTR2,-5.06775558838669,2.2810432564471e-13
CES1,-2.42359657887485,1.59449660759645e-05
CYSLTR1,-2.3470727145357,2.41474024084818e-14
NMU,4.25406384630633,3.18847601469761e-13
AC079354.1,-2.84100676695907,3.12627859830782e-09
GNA14,-3.1144568457922,1.37937695708909e-15
SYT14,2.95165751797206,1.31355252168318e-13
CCDC68,-2.85189940283584,2.50295945923263e-15
CYP2F1,-3.48059409923199,4.95079047894870e-09
ESPN,2.83062565917513,2.23720191924385e-11
KCNK3,-4.69282091623635,1.33259302339478e-15
PDE2A,-2.64359436616272,7.63424441771321e-15
ANKRD18B,3.32686621389154,1.40578843778611e-11
